venue_id,name,address,lat,lng,cuisines,dietary_tags,price_tier,health_score,source,source_url,rating,review_count
63b18408a8ccc381,南青山 いと家,東京都 港区 南青山2-19-1 シティヤマザキ 1F,35.670135584014616,139.7200270041468,"['日本料理', 'かに', 'ふぐ']",['fish'],3,,tabelog,https://tabelog.com/tokyo/A1306/A130603/13123273/,3.31,113
586dc379b437f606,焼き鳥とワイン＋ビストロおでん 3b 神保町,東京都 千代田区 神田神保町1-18-10 三光ビル1F,35.69667223789855,139.7592338833837,"['居酒屋', '焼き鳥', 'ワインバー']",[],2,,tabelog,https://tabelog.com/tokyo/A1310/A131003/13241579/,3.42,260
ef595c100262c655,天ぷら dining itoi,東京都 新宿区 舟町5 1F,35.68963383789108,139.72172368333887,"['天ぷら', 'ダイニングバー', '日本酒バー']",[],2,,tabelog,https://tabelog.com/tokyo/A1309/A130903/13195470/,3.41,128
18a599deb6bd563b,ル セリエ,東京都 新宿区 神楽坂6-36 神楽坂ビル B1F,35.70387185311876,139.73567789307873,"['ワインバー', 'ビストロ', 'フレンチ']",[],3,,tabelog,https://tabelog.com/tokyo/A1309/A130905/13272541/,3.15,70
94283476ee8a4ea2,梅蘭 上野の森さくらテラス店,東京都 台東区 上野公園1-54 上野の森さくらテラス3F,35.71220073789356,139.7745392835298,"['中華料理', '焼きそば', '居酒屋']",[],1,,tabelog,https://tabelog.com/tokyo/A1311/A131101/13168310/,3.2,348
a7ad9ae52547dca7,生ハラミ＆ネギタン焼肉 金肉屋 下北沢,東京都 世田谷区 北沢2-12-13 細沢ビル B1F,35.66095649556948,139.6682972784727,"['焼肉', '居酒屋', 'ホルモン']",['meat'],2,,tabelog,https://tabelog.com/tokyo/A1318/A131802/13299386/,3.11,69
c7714fd365a9feb2,和食日和 おさけと 京橋,東京都 中央区 京橋1-7-1 TODA BUILDING 2F,35.67854222871946,139.77186722435346,"['日本料理', '海鮮', '居酒屋']",['fish'],3,,tabelog,https://tabelog.com/tokyo/A1302/A130202/13300411/,3.12,54
12e7492ddd10914a,emun,東京都 渋谷区 西原3-11-9 蜂章ビル 3F,35.66940833789059,139.6798738831639,['フレンチ'],[],4,,tabelog,https://tabelog.com/tokyo/A1318/A131811/13111543/,3.52,155
da52d1503b2636e7,居酒屋 土間土間 大井町店,東京都 品川区 東大井5-15-1 ２Ｆ・３Ｆ,35.60716393794799,139.73597268249586,"['居酒屋', '焼き鳥', 'ダイニングバー']",[],1,,tabelog,https://tabelog.com/tokyo/A1315/A131501/13052055/,3.03,34
9004ea695ed63358,新宿 ばーる,東京都 新宿区 西新宿1-16-9 盛栄ビル　Ｂ１Ｆ,35.68916983788372,139.69770188335102,"['立ち飲み', '焼き鳥', '居酒屋']",[],1,,tabelog,https://tabelog.com/tokyo/A1304/A130401/13021078/,3.42,201
afe22d1af8e7a440,酔天宮 浅草店,東京都 台東区 浅草1-17-8,35.711594127155365,139.79507608472366,"['居酒屋', '海鮮', '肉料理']","['fish', 'meat']",2,,tabelog,https://tabelog.com/tokyo/A1311/A131102/13305547/,3.07,10
04bc5b2e659f7775,プラチナフィッシュ おもてなし kakure,東京都 港区 新橋2-9-11 2F,35.66668593791675,139.75660498308264,"['海鮮', '居酒屋', '日本料理']",['fish'],3,,tabelog,https://tabelog.com/tokyo/A1301/A130103/13261971/,3.45,314
465cac59a375cabf,赤坂 鮨葵,東京都 港区 赤坂5-4-14 ベルテンポ赤坂 2F,35.67122091365988,139.73514787594996,"['寿司', 'ダイニングバー', '海鮮']",['fish'],3,,tabelog,https://tabelog.com/tokyo/A1308/A130801/13207593/,3.45,517
197086182375b0f0,焼肉もとやま 新宿店,東京都 新宿区 西新宿7-10-12 ダイハンビルデンス 2F,35.69428983788064,139.69825298340237,"['焼肉', 'ホルモン', '韓国料理']",['meat'],3,,tabelog,https://tabelog.com/tokyo/A1304/A130401/13107765/,3.42,519
506f475381bd368e,さくら 鳥居坂,東京都 港区 麻布十番1-5-7 第一長門ビル B1F,35.657140137915384,139.73325418300257,"['居酒屋', '海鮮', '日本料理']",['fish'],3,,tabelog,https://tabelog.com/tokyo/A1307/A130702/13007490/,3.27,171
a070b700d3afa302,yakiniku.ushicoco.,東京都 目黒区 上目黒2-16-1 リードシー中目黒 4F,35.642502337913506,139.69818438287933,"['焼肉', 'ホルモン', '肉バル']",['meat'],3,,tabelog,https://tabelog.com/tokyo/A1317/A131701/13261753/,3.54,412
81a5c4c1c0bf4a19,ちむどんどん,東京都 渋谷区 宇田川町11-2 宇田川柳光ビル 3F,35.66241162911144,139.6973971910532,"['居酒屋', '沖縄料理', '豚しゃぶ']",[],2,,tabelog,https://tabelog.com/tokyo/A1303/A130301/13269708/,3.09,30
457e16e34d269472,ステーキライスとお酒の店 センタービーフ 青山一丁目店,東京都 港区 南青山1-4-17 美松ビル 1F,35.67144383870899,139.72483128431472,"['居酒屋', 'ステーキ']",[],2,,tabelog,https://tabelog.com/tokyo/A1306/A130603/13319678/,3.09,29
